Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,16073,1970,02,01,0.0,,Y
IDCJAC0009,16073,1970,02,02,0.0,,Y
IDCJAC0009,16073,1970,02,03,0.0,,Y
IDCJAC0009,16073,1970,02,04,0.0,,Y
IDCJAC0009,16073,1970,02,05,0.0,,Y
IDCJAC0009,16073,1970,02,06,0.0,,Y
IDCJAC0009,16073,1970,02,07,0.0,,Y
IDCJAC0009,16073,1970,02,08,0.0,,Y
IDCJAC0009,16073,1970,02,09,0.0,,Y
IDCJAC0009,16073,1970,02,10,0.0,,Y
IDCJAC0009,16073,1970,02,11,0.0,,Y
IDCJAC0009,16073,1970,02,12,0.0,,Y
IDCJAC0009,16073,1970,02,13,0.0,,Y
IDCJAC0009,16073,1970,02,14,0.0,,Y
IDCJAC0009,16073,1970,02,15,0.0,,Y
IDCJAC0009,16073,1970,02,16,0.0,,Y
IDCJAC0009,16073,1970,02,17,0.0,,Y
IDCJAC0009,16073,1970,02,18,0.0,,Y
IDCJAC0009,16073,1970,02,19,0.0,,Y
IDCJAC0009,16073,1970,02,20,0.0,,Y
IDCJAC0009,16073,1970,02,21,0.0,,Y
IDCJAC0009,16073,1970,02,22,0.0,,Y
IDCJAC0009,16073,1970,02,23,0.0,,Y
IDCJAC0009,16073,1970,02,24,0.0,,Y
IDCJAC0009,16073,1970,02,25,0.0,,Y
IDCJAC0009,16073,1970,02,26,0.0,,Y
IDCJAC0009,16073,1970,02,27,0.0,,Y
IDCJAC0009,16073,1970,02,28,0.0,,Y
IDCJAC0009,16073,1970,03,01,0.0,,Y
IDCJAC0009,16073,1970,03,02,0.0,,Y
IDCJAC0009,16073,1970,03,03,0.0,,Y
IDCJAC0009,16073,1970,03,04,0.0,,Y
IDCJAC0009,16073,1970,03,05,0.0,,Y
IDCJAC0009,16073,1970,03,06,0.0,,Y
IDCJAC0009,16073,1970,03,07,0.0,,Y
IDCJAC0009,16073,1970,03,08,0.0,,Y
IDCJAC0009,16073,1970,03,09,0.0,,Y
IDCJAC0009,16073,1970,03,10,0.0,,Y
IDCJAC0009,16073,1970,03,11,0.0,,Y
IDCJAC0009,16073,1970,03,12,0.0,,Y
IDCJAC0009,16073,1970,03,13,0.0,,Y
IDCJAC0009,16073,1970,03,14,0.0,,Y
IDCJAC0009,16073,1970,03,15,0.0,,Y
IDCJAC0009,16073,1970,03,16,0.0,,Y
IDCJAC0009,16073,1970,03,17,0.0,,Y
IDCJAC0009,16073,1970,03,18,0.0,,Y
IDCJAC0009,16073,1970,03,19,0.0,,Y
IDCJAC0009,16073,1970,03,20,0.0,,Y
IDCJAC0009,16073,1970,03,21,0.0,,Y
IDCJAC0009,16073,1970,03,22,0.0,,Y
IDCJAC0009,16073,1970,03,23,0.0,,Y
IDCJAC0009,16073,1970,03,24,0.0,,Y
IDCJAC0009,16073,1970,03,25,0.0,,Y
IDCJAC0009,16073,1970,03,26,0.0,,Y
IDCJAC0009,16073,1970,03,27,0.0,,Y
IDCJAC0009,16073,1970,03,28,0.0,,Y
IDCJAC0009,16073,1970,03,29,0.0,,Y
IDCJAC0009,16073,1970,03,30,0.0,,Y
IDCJAC0009,16073,1970,03,31,0.0,,Y
IDCJAC0009,16073,1970,04,01,0.0,,Y
IDCJAC0009,16073,1970,04,02,0.0,,Y
IDCJAC0009,16073,1970,04,03,0.0,,Y
IDCJAC0009,16073,1970,04,04,0.0,,Y
IDCJAC0009,16073,1970,04,05,0.0,,Y
IDCJAC0009,16073,1970,04,06,0.0,,Y
IDCJAC0009,16073,1970,04,07,0.0,,Y
IDCJAC0009,16073,1970,04,08,0.0,,Y
IDCJAC0009,16073,1970,04,09,0.0,,Y
IDCJAC0009,16073,1970,04,10,0.0,,Y
IDCJAC0009,16073,1970,04,11,0.0,,Y
IDCJAC0009,16073,1970,04,12,0.0,,Y
IDCJAC0009,16073,1970,04,13,0.0,,Y
IDCJAC0009,16073,1970,04,14,0.0,,Y
IDCJAC0009,16073,1970,04,15,0.0,,Y
IDCJAC0009,16073,1970,04,16,0.0,,Y
IDCJAC0009,16073,1970,04,17,0.0,,Y
IDCJAC0009,16073,1970,04,18,0.0,,Y
IDCJAC0009,16073,1970,04,19,6.4,1,Y
IDCJAC0009,16073,1970,04,20,0.0,,Y
IDCJAC0009,16073,1970,04,21,10.9,1,Y
IDCJAC0009,16073,1970,04,22,0.0,,Y
IDCJAC0009,16073,1970,04,23,0.0,,Y
IDCJAC0009,16073,1970,04,24,0.0,,Y
IDCJAC0009,16073,1970,04,25,0.0,,Y
IDCJAC0009,16073,1970,04,26,0.0,,Y
IDCJAC0009,16073,1970,04,27,0.0,,Y
IDCJAC0009,16073,1970,04,28,0.0,,Y
IDCJAC0009,16073,1970,04,29,0.0,,Y
IDCJAC0009,16073,1970,04,30,0.0,,Y
IDCJAC0009,16073,1970,05,01,0.0,,Y
IDCJAC0009,16073,1970,05,02,0.0,,Y
IDCJAC0009,16073,1970,05,03,0.0,,Y
IDCJAC0009,16073,1970,05,04,0.0,,Y
IDCJAC0009,16073,1970,05,05,0.0,,Y
IDCJAC0009,16073,1970,05,06,0.0,,Y
IDCJAC0009,16073,1970,05,07,0.0,,Y
IDCJAC0009,16073,1970,05,08,0.0,,Y
IDCJAC0009,16073,1970,05,09,0.0,,Y
IDCJAC0009,16073,1970,05,10,0.0,,Y
IDCJAC0009,16073,1970,05,11,0.0,,Y
IDCJAC0009,16073,1970,05,12,0.0,,Y
IDCJAC0009,16073,1970,05,13,0.0,,Y
IDCJAC0009,16073,1970,05,14,0.0,,Y
IDCJAC0009,16073,1970,05,15,0.0,,Y
IDCJAC0009,16073,1970,05,16,0.0,,Y
IDCJAC0009,16073,1970,05,17,0.0,,Y
IDCJAC0009,16073,1970,05,18,0.0,,Y
IDCJAC0009,16073,1970,05,19,0.0,,Y
IDCJAC0009,16073,1970,05,20,0.0,,Y
IDCJAC0009,16073,1970,05,21,0.0,,Y
IDCJAC0009,16073,1970,05,22,0.0,,Y
IDCJAC0009,16073,1970,05,23,0.0,,Y
IDCJAC0009,16073,1970,05,24,0.0,,Y
