Year,Month,Day,Daily global solar exposure (MJ/m*m),Station
1996,06,29,12.8,Arkaroola
1996,06,30,12.8,Arkaroola
1996,07,01,10.6,Arkaroola
1996,07,02,10.5,Arkaroola
1996,07,03,13.1,Arkaroola
1996,07,04,1.4,Arkaroola
1996,07,05,11.6,Arkaroola
1996,07,06,13.9,Arkaroola
1996,07,07,12.1,Arkaroola
1996,07,08,12.4,Arkaroola
1996,07,09,6.9,Arkaroola
1996,07,10,3.5,Arkaroola
1996,07,11,11.6,Arkaroola
1996,07,12,10.9,Arkaroola
1996,07,13,12.8,Arkaroola
1996,07,14,11.5,Arkaroola
1996,07,15,11.6,Arkaroola
1996,07,16,2.8,Arkaroola
1996,07,17,12.8,Arkaroola
1996,07,18,14,Arkaroola
1996,07,19,13.1,Arkaroola
1996,07,20,13.1,Arkaroola
1996,07,21,13.8,Arkaroola
1996,07,22,14.8,Arkaroola
1996,07,23,7.8,Arkaroola
1996,07,24,15.1,Arkaroola
1996,07,25,NA,Arkaroola
1996,07,26,3.8,Arkaroola
1996,07,27,3.8,Arkaroola
1996,07,28,15.1,Arkaroola
1996,07,29,15.2,Arkaroola
1996,07,30,15.4,Arkaroola
1996,07,31,12.1,Arkaroola
1996,08,01,9.8,Arkaroola
1996,08,02,16,Arkaroola
1996,08,03,16.1,Arkaroola
1996,08,04,16.2,Arkaroola
1996,08,05,16.5,Arkaroola
1996,08,06,9.4,Arkaroola
1996,08,07,16.2,Arkaroola
1996,08,08,15.1,Arkaroola
1996,08,09,17.1,Arkaroola
1996,08,10,17.5,Arkaroola
1996,08,11,17.9,Arkaroola
1996,08,12,17.6,Arkaroola
1996,08,13,18.1,Arkaroola
1996,08,14,17,Arkaroola
1996,08,15,8,Arkaroola
1996,08,16,18.4,Arkaroola
1996,08,17,17.5,Arkaroola
1996,08,18,17.8,Arkaroola
1996,08,19,15.1,Arkaroola
1996,08,20,17.1,Arkaroola
1996,08,21,12,Arkaroola
1996,08,22,10.9,Arkaroola
1996,08,23,13.2,Arkaroola
1996,08,24,20,Arkaroola
1996,08,25,19.1,Arkaroola
1996,08,26,16.2,Arkaroola
1996,08,27,12.3,Arkaroola
1996,08,28,17.4,Arkaroola
1996,08,29,15.6,Arkaroola
1996,08,30,20,Arkaroola
1996,08,31,21,Arkaroola
1996,09,01,20.6,Arkaroola
1996,09,02,20.7,Arkaroola
